Timestamp,1. Age,2. Gender,3. Education,4. Daily internet usage,5. I spend a lot of time online daily,6. I frequently use social media.,"7. I use the internet for study, communication, and entertainment",8. I often use public Wi-Fi,"9. I download software, audio/video/images or files regularly",10. I know the cyber threats,11. I understand risks of unknown links,12. I know how sensitive information can be stolen,13. I know how the social media privacy settings,14. I know strong passwords are important,15. I know public Wi-Fi is risky,16. I know about computer viruses,17. I can spot suspicious messages,18. I know about ecommerce and online transaction,19. I know how to change privacy setting.,"20. I can identify fake software/Apps, websites and weblinks",21. I know how to secure my accounts,22. I know how to protect my personal information,23. I use strong passwords,24. I avoid unknown links.,"25. I don't share OTP, passwords and sensitive information to other",26. I update softwares / apps regularly,27. I use two-factor authentication (2FA) and secure privacy settings,28. I log-out the account from shared devices,29. I avoid unsafe downloads,30. I use antivirus and secure VPN,31. I share cyber knowledge to people who don't know about it.,"32. Even if I know risks, I ignore them.",33. I keep same password on multiple platforms,34. I click on links without checking them,35. I accept terms and conditions of software/apps without studying properly,36. Cybersecurity is not important for me,37. I receive suspicious messages or links,"38. I have faced cyber risks (fraud, scams, hacking)",39. Cyber incidents affected me or someone I know,40. I feel unsafe using the internet sometimes,41. Cybersecurity awareness is important,College name,Faculty,Scheme
29/04/2026 18:15:01,17,Male,11th,2-4 Hours,Neutral,,Agree,Agree,Neutral,Agree,Neutral,,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Alliance,,
29/04/2026 18:37:30,17,Male,11th,2-4 Hours,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,,Disagree,Neutral,,Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Alliance,Management,Non-Technical
29/04/2026 19:19:54,19,Male,11th,4-6 Hours,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly agree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Neutral,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Agree,Alliance,Management,Non-Technical
29/04/2026 19:22:55,17,Female,11th,2-4 Hours,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Alliance,Management,Non-Technical
29/04/2026 19:25:27,17,Female,11th,2-4 Hours,Agree,Agree,,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Alliance,Management,Non-Technical
29/04/2026 19:28:06,17,Female,11th,2-4 Hours,Agree,Agree,Agree,Disagree,Agree,,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Alliance,Management,Non-Technical
29/04/2026 19:30:46,18,Male,11th,0-2 Hours,Strongly disagree,Disagree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
29/04/2026 19:33:23,19,Male,11th,2-4 Hours,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
29/04/2026 19:36:47,18,Male,11th,4-6 Hours,Disagree,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,,Agree,Agree,Agree,Disagree,Disagree,Alliance,Management,Non-Technical
29/04/2026 19:38:57,17,Male,11th,0-2 Hours,Disagree,Neutral,Neutral,Agree,Agree,,Agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,,Neutral,Agree,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Alliance,Management,Non-Technical
